"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 04 04:05:48 GMT 2025","Mon Aug 04 04:05:48 GMT 2025","180","tests","test_subscription","TestSubscription","","","Get tariffs","Test get tariffs endpoint."
"passed","Mon Aug 04 04:05:47 GMT 2025","Mon Aug 04 04:05:48 GMT 2025","187","tests","test_recruiters","TestRecruiters","","","Get recruiter profile","Test to check the retrieval of recruiter profile information."
"failed","Mon Aug 04 04:05:46 GMT 2025","Mon Aug 04 04:05:47 GMT 2025","1084","tests","test_recruiters","TestRecruiters","","","Get recruiter profile","Test to check the retrieval of recruiter profile information."
